smiles,selfies
Cc1ccccc1CCO,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][O]
Cc1nc(C)c(C)nc1C,[C][C][=N][C][Branch1][C][C][=C][Branch1][C][C][N][=C][Ring1][Branch2][C]
CC1=CC(O)CC(C)(C)C1,[C][C][=C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2]
Cc1cnc(C)c(C)n1,[C][C][=C][N][=C][Branch1][C][C][C][Branch1][C][C][=N][Ring1][Branch2]
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Ca+2]
CC(C)CCCCCOC(=O)CCS,[C][C][Branch1][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][S]
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch2][As][=Branch1][C][=O][Branch1][C][O][O][=C][C][=C][Ring1][#Branch2][O]
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,[C][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S]
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,[C][C][Branch1][C][C][C@H1][C][C][C@H1][Branch1][C][C][C][C@@H1][Ring1][#Branch1][O]
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,[C][N][C][=Branch1][C][=O][C][=C][Branch1][=C][N][=C][N][Ring1][Branch1][C][C][O][C][C][O][Ring1][Branch1][N][Branch1][C][C][C][Ring1][P][=O]
COC(=O)C1=CCCN(C)C1,[C][O][C][=Branch1][C][=O][C][=C][C][C][N][Branch1][C][C][C][Ring1][#Branch1]
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],[C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][N+1][=Branch1][C][=O][O-1]
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],[C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][=C][Ring1][=Branch2][N+1][=Branch1][C][=O][O-1]
CCCCCC(C)O,[C][C][C][C][C][C][Branch1][C][C][O]
NC(=O)c1ccccc1,[N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,[O][=C][C][Branch1][=N][N][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][O][N][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][Ring1][S][C][O]
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,[C][C][Branch1][C][C][N][C][C@@H1][Branch1][C][O][C][O][C][=C][C][=C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][Ring1][#Branch2]
[I-].[K+],[I-1].[K+1]
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,[O][=C][Branch1][P][C][=C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O][C@@H1][C][C@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@H1][Ring1][O][O]
C/C=C/C=C/C=O,[C][/C][=C][/C][=C][/C][=O]
C[Si](C)(C)N[Si](C)(C)C,[C][Si][Branch1][C][C][Branch1][C][C][N][Si][Branch1][C][C][Branch1][C][C][C]
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][S][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][C][O][Ring1][Branch1]
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[C][C][N][C@H1][C][C@H1][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][S][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][C][=Ring1][=Branch2][Ring1][S]
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[C][C][N][C@H1][C][N][Branch1][=Branch1][C][C][C][O][C][S][=Branch1][C][=O][=Branch1][C][=O][C][S][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][C][=Ring1][=Branch2][Ring2][Ring1][Ring2]
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,[C][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C]
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,[C][N][Branch1][C][C][C@@H1][C][Branch1][C][O][=C][Branch1][=C][C][=Branch1][C][=O][N][C][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][C@@][Branch1][C][O][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C@@][Branch1][C][C][Branch1][C][O][C][Ring1][=C][C][C@@H1][Ring2][Ring2][Ring1][Ring2][Ring1][Ring2]
CCCCCCCCCCCCCC(=O)OC,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C]
CCCCCCC(C)O,[C][C][C][C][C][C][C][Branch1][C][C][O]
CCC[Si](OC)(OC)OC,[C][C][C][Si][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C]
CC1=C(CC=O)C(C)(C)CCC1,[C][C][=C][Branch1][Ring2][C][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][O]
CCCCCNCCCCC,[C][C][C][C][C][N][C][C][C][C][C]
COCC(C)O,[C][O][C][C][Branch1][C][C][O]
c1ccc2c(c1)Oc1ccccc1S2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][O]
CC1CN1,[C][C][C][N][Ring1][Ring1]
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,[C][C][C][=C][N][=C][Branch2][Ring1][Branch1][C][=N][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring2][Ring1][Ring1]
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,[Cl][C][=C][N][=C][Branch2][Ring1][=Branch2][O][C][=C][C][=C][Branch1][=C][O][C][=N][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring1][#C][C][Branch1][C][Cl][=C][Ring2][Ring1][#Branch1]
ClCOCCl,[Cl][C][O][C][Cl]
CC(O)CNCC(C)O,[C][C][Branch1][C][O][C][N][C][C][Branch1][C][C][O]
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],[C][C][C][C][C][Branch1][Ring1][C][C][C][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1]
O=C(O)CCCCCCCCC(=O)O,[O][=C][Branch1][C][O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]
CCCCCCCC(=O)OC,[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C]
CC(O)COCC(C)O,[C][C][Branch1][C][O][C][O][C][C][Branch1][C][C][O]
Cc1ncc[nH]1,[C][C][=N][C][=C][NH1][Ring1][Branch1]
CO[Si](C)(C)OC,[C][O][Si][Branch1][C][C][Branch1][C][C][O][C]
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,[O][=C][Branch1][C][O][C][C][=C][Branch1][C][Cl][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl]
Cc1ccc(C(C)(C)C)cc1,[C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2]
BrCBr,[Br][C][Br]
Nc1cc(Cl)cc(Cl)c1,[N][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2]
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],[O].[O].[O].[O].[O].[O].[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Mg+2]
CCCCCCCCCOS(=O)(=O)[O-],[C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1]
O=Cc1ccc(C(=O)O)cc1,[O][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2]
CCC(Cl)CCl,[C][C][C][Branch1][C][Cl][C][Cl]
O=C1CCCN1,[O][=C][C][C][C][N][Ring1][Branch1]
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,[N][#C][C][Branch1][#C][N][=N][C][Branch1][Ring1][C][#N][C][C][C][C][C][Ring1][Branch2][C][C][C][C][C][Ring1][S]
COc1cccc(Br)c1,[C][O][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1]
CCCCCCCCNC,[C][C][C][C][C][C][C][C][N][C]
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,[C][C][=C][C][Branch1][O][O][C][=Branch1][C][=O][N][Branch1][C][C][C][=N][N][Ring1][O][C][=Branch1][C][=O][N][Branch1][C][C][C]
CC(O)COc1ccccc1,[C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
O=P1(NCCCl)OCCCN1CCCl,[O][=P][Branch1][Branch1][N][C][C][Cl][O][C][C][C][N][Ring1][#Branch2][C][C][Cl]
CC=Cc1ccc2c(c1)OCO2,[C][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1]
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,[C][C][C][O][C][=C][Branch1][N][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][Branch1][C][F][=C][C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring2][Ring1][Branch2][C][Ring2][Ring1][=Branch1][=Ring1][#Branch2]
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,[C][C][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][Cl][N][=C][Ring1][#Branch1][/C][=Branch1][#Branch1][=C][/N+1][=Branch1][C][=O][O-1][N][C]
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,[O][C][C@][Branch1][C][O][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O]
CC(C)C[P+](C)(CC(C)C)CC(C)C,[C][C][Branch1][C][C][C][P+1][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C]
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,[C][=C][C][C@][C][C][C@@H1][C@][Branch1][C][C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][C][C][C@][Ring2][Ring1][Branch1][Branch1][C][C][C@@H1][Ring2][Ring1][#Branch2][C][C@@H1][Branch2][Branch1][=N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Branch1][O][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][P][C][Ring2][Branch1][S]
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][N]
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,[O][=C][N][Branch1][Ring2][C][C][O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][=Branch1][C][=O][N][Ring1][=C][C][C][O]
O=C(O)c1ccc(O)cc1O,[O][=C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O]
CC1=CC(C)(C)Nc2ccccc21,[C][C][=C][C][Branch1][C][C][Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][N]
CC(C)CNCC(C)C,[C][C][Branch1][C][C][C][N][C][C][Branch1][C][C][C]
NC(=O)OCC(COC(N)=O)c1ccccc1,[N][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=N][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][N][Ring1][#Branch2]
NC(=S)NNC(N)=S,[N][C][=Branch1][C][=S][N][N][C][Branch1][C][N][=S]
O=C(Oc1ccccc1)Oc1ccccc1,[O][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
CN(C)CCN(Cc1cccs1)c1ccccn1,[C][N][Branch1][C][C][C][C][N][Branch1][=Branch2][C][C][=C][C][=C][S][Ring1][Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C@H1][C][C@][Branch1][C][C][Branch1][C][O][C][C][C@][Ring1][Branch2][Branch1][C][C][C@H1][Ring1][=N][C][C][C@][Ring2][Ring1][Ring2][Ring1][P][C]
O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,[O][=C][Branch1][C][O][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring1]
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,[N][C][=Branch1][C][=O][C][=C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][N][=N][Ring1][=C]
CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1][C].[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][Branch1][C][F][Branch1][C][F][F]
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,[C][C][C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F]
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,[C][C][N][C][C][C][C][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Branch1][C][N][C][=C][Ring1][N][O][C]
CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,[C][C][N+1][Branch1][C][C][C][C][C][C][Ring1][=Branch1].[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][Branch1][C][F][Branch1][C][F][F]
CNC(=O)/C=C(\C)OP(=O)(OC)OC,[C][N][C][=Branch1][C][=O][/C][=C][Branch1][C][\C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C]
CC=CC(=O)CC,[C][C][=C][C][=Branch1][C][=O][C][C]
CC1OCCC1=O,[C][C][O][C][C][C][Ring1][Branch1][=O]
CC1CCCC(=O)C1=O,[C][C][C][C][C][C][=Branch1][C][=O][C][Ring1][#Branch1][=O]
c1cnc2c(n1)CCCC2,[C][=C][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1]
CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1,[C][C][C][C][C][=C][C][=C][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O-1][C][Ring1][#Branch2][=C][Ring1][=C]
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N][=C][N][S][Ring1][=Branch2][=Branch1][C][=O][=O]
O=P(Cl)(Cl)Cl,[O][=P][Branch1][C][Cl][Branch1][C][Cl][Cl]
CN(C)CCOC(c1ccccc1)c1ccccc1,[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
COC(=O)c1ccc(C)cc1,[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1]
CC(=O)C=Cc1ccccc1,[C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1]
Cc1c[nH]c(=S)[nH]c1=O,[C][C][=C][NH1][C][=Branch1][C][=S][NH1][C][Ring1][#Branch1][=O]
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][C][N+1][Branch1][C][C][Branch1][C][C][C@H1][Ring1][N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][#Branch2][C@@H1][Branch1][Branch1][C][Ring2][Ring2][=Branch1][N+1][Branch1][C][C][Branch1][C][C][C][C][Ring1][=Branch2]
CC12CCC(CC1)C(C)(C)O2,[C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][O][Ring1][#Branch2]
C=COCC1CCC(CO)CC1,[C][=C][O][C][C][C][C][C][Branch1][Ring1][C][O][C][C][Ring1][Branch2]
CC(=O)/C=C/C1=C(C)CCCC1(C)C,[C][C][=Branch1][C][=O][/C][=C][/C][=C][Branch1][C][C][C][C][C][C][Ring1][#Branch1][Branch1][C][C][C]
CC(=O)NC1CCSC1=O,[C][C][=Branch1][C][=O][N][C][C][C][S][C][Ring1][Branch1][=O]
CC(O)CN,[C][C][Branch1][C][O][C][N]
C=CCc1ccc(O)c(OC)c1,[C][=C][C][C][=C][C][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][=Branch2]
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],[C][O][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][N][/C][Branch1][C][N][=N][/N+1][=Branch1][C][=O][O-1]
C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,[C][C@H1][Branch2][Ring1][Ring2][N][C@H1][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][O]
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,[C][N][Branch1][C][C][C][C][C][=C][NH1][C][=C][C][=C][Branch1][S][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=C][Ring2][Ring1][C][Ring1][#C]
C=C(C)C(=O)OCCNC(C)(C)C,[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][N][C][Branch1][C][C][Branch1][C][C][C]
NS(=O)(=O)c1ccccc1OC(F)(F)F,[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][F][Branch1][C][F][F]
O=C=NCC1CCCC(CN=C=O)C1,[O][=C][=N][C][C][C][C][C][C][Branch1][Branch1][C][N][=C][=O][C][Ring1][#Branch2]
NS(=O)(=O)c1ccc(C(=O)O)cc1,[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2]
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,[C][O][C][=C][C][=C][Branch2][Ring1][Ring2][C][N][Branch1][Branch2][C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1]
CN(C)C(=O)Oc1ccc[n+](C)c1,[C][N][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][N+1][Branch1][C][C][=C][Ring1][#Branch1]
Cc1ncc(CO)c(CO)c1O,[C][C][=N][C][=C][Branch1][Ring1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][#Branch2][O]
CC(C)(CO)CO,[C][C][Branch1][C][C][Branch1][Ring1][C][O][C][O]
O=S1(=O)CCCC1,[O][=S][=Branch1][C][=O][C][C][C][C][Ring1][=Branch1]
O=[N+]([O-])C(CO)(CO)CO,[O][=N+1][Branch1][C][O-1][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O]
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],[O][=N+1][Branch1][C][O-1][O][C][C][N][Branch1][=Branch2][C][C][O][N+1][=Branch1][C][=O][O-1][C][C][O][N+1][=Branch1][C][=O][O-1]
NC(CO)(CO)CO,[N][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O]
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][C][C@@H1][C][=C][Branch2][Ring2][#Branch1][C][=C][Branch1][Ring1][O][C][C][Branch1][C][O][=C][Ring1][=Branch2][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C@@H1][Ring2][Ring1][#C][N][Branch1][C][C][C][C][Ring2][Ring2][Ring2][C][C][N+1][Ring2][Ring1][#Branch2][Branch1][C][C][C]
O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,[O][=C][Branch2][Ring1][=Branch1][O][C@@H1][C][C@@H1][C][C][C@H1][Branch1][Ring2][C][Ring1][#Branch1][N+1][Ring1][=Branch1][C][C][C][C][Ring1][Branch1][C][Branch1][C][O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC,[C][O][C][=C][C][Branch1][=C][C][=Branch1][C][=O][N][C][C][C][C][N][C][Ring1][=Branch1][=C][C][Branch1][Ring1][O][C][=C][Ring1][P][O][C]
