smiles,smi_mac_fragments,selfies,NR-AR
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],"[14*]c1ccc([14*])c(Cl)c1,[2*]O[2*],[10*]S(C)(=O)=O,[14*]c1ccc([N+](=O)[O-])c([14*])c1,[1*]C([1*])=O,[4*]N[4*],[6*]C(F)(F)F",[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][Cl][=C][C][=C][Ring2][Ring1][C][N+1][=Branch1][C][=O][O-1],0
CC/C=C\CCCCO,"[5*]=CCCCCO,[5*]=CCC",[C][C][/C][=C][\C][C][C][C][O],0
CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,[C][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],0
N#CCCNCCC#N,"[3*]CCC#N,[4*]N[4*]",[N][#C][C][C][N][C][C][C][#N],0
Cc1ccccc1CCO,"[6*]CCO,[14*]c1ccccc1C",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][O],0
Cc1nc(C)c(C)nc1C,Cc1nc(C)c(C)nc1C,[C][C][=N][C][Branch1][C][C][=C][Branch1][C][C][N][=C][Ring1][Branch2][C],0
CC1=CC(O)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1,[C][C][=C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2],0
Cc1cnc(C)c(C)n1,Cc1cnc(C)c(C)n1,[C][C][=C][N][=C][Branch1][C][C][C][Branch1][C][C][=N][Ring1][Branch2],0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],"[Ca+2],O=[N+]([O-])[O-]",[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Ca+2],0
CC(C)CCCCCOC(=O)CCS,"[2*]O[2*],[3*]CCCCCC(C)C,[1*]C(=O)CCS",[C][C][Branch1][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][S],0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][=Branch2][As][=Branch1][C][=O][Branch1][C][O][O][=C][C][=C][Ring1][#Branch2][O],0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,"[1*]C(=O)CCS,[2*]O[2*],[3*]CC(C[3*])(C[3*])CC",[C][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S],0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,"[13*][C@H]1CC[C@H](C)C[C@@H]1O,[6*]C(C)C",[C][C][Branch1][C][C][C@H1][C][C][C@H1][Branch1][C][C][C][C@@H1][Ring1][#Branch1][O],0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,"[7*]n1cnc2c1c(=O)n(C)c(=O)n2C,[6*]C[6*],[11*]C1OCCO1",[C][N][C][=Branch1][C][=O][C][=C][Branch1][=C][N][=C][N][Ring1][Branch1][C][C][O][C][C][O][Ring1][Branch1][N][Branch1][C][C][C][Ring1][P][=O],0
COC(=O)C1=CCCN(C)C1,"[1*]C(=O)C1=CCCN(C)C1,[2*]OC",[C][O][C][=Branch1][C][=O][C][=C][C][C][N][Branch1][C][C][C][Ring1][#Branch1],0
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],"[1*]C(=O)O,[14*]c1ccc(C)c([N+](=O)[O-])c1",[C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][N+1][=Branch1][C][=O][O-1],0
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],"[1*]C(=O)O,[14*]c1ccc([N+](=O)[O-])c(C)c1",[C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][=C][Ring1][=Branch2][N+1][=Branch1][C][=O][O-1],0
CCCCCC(C)O,CCCCCC(C)O,[C][C][C][C][C][C][Branch1][C][C][O],0
NC(=O)c1ccccc1,"[14*]c1ccccc1,[1*]C(N)=O",[N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,"[4*]NCO,[6*]CO,[4*]N([4*])CO,[1*]C([1*])=O,[3*]C1C(=O)N([8*])C(=O)N1[8*]",[O][=C][C][Branch1][=N][N][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][O][N][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][Ring1][S][C][O],0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,"[3*]CC(O)C[3*],[2*]O[2*],[6*]CC(N)=O,[3*]C(C)C,[4*]N[4*],[14*]c1ccc([14*])cc1",[C][C][Branch1][C][C][N][C][C@@H1][Branch1][C][O][C][O][C][=C][C][=C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][Ring1][#Branch2],0
[I-].[K+],"[I-],[K+]",[I-1].[K+1],0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,"[1*]C(=O)C=[5*],[1*]C(=O)O,[5*]=Cc1ccc(O)c(O)c1,[2*]O[2*],[3*][C@@H]1C[C@]([13*])(O)C[C@@H](O)[C@H]1O",[O][=C][Branch1][P][C][=C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O][C@@H1][C][C@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@H1][Ring1][O][O],0
C/C=C/C=C/C=O,"[5*]=CC,[5*]=CC=O,[5*]=CC=[5*]",[C][/C][=C][/C][=C][/C][=O],0
C[Si](C)(C)N[Si](C)(C)C,C[Si](C)(C)N[Si](C)(C)C,[C][Si][Branch1][C][C][Branch1][C][C][N][Si][Branch1][C][C][Branch1][C][C][C],0
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,"[3*]CC[3*],[2*]O[2*],[11*]C1CCCO1,[3*]CC,[14*]c1cccc2ccccc12,[1*]C(=O)C(C[6*])C[6*],[4*]N([4*])[4*]",[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][Branch1][S][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][C][O][Ring1][Branch1],0
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,"[3*][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[4*]N[4*],[3*]CC",[C][C][N][C@H1][C][C@H1][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][S][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][C][=Ring1][=Branch2][Ring1][S],0
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,"[3*]CC,[2*]OC,[3*]CCC[3*],[4*]N[4*],[3*][C@H]1CN([4*])S(=O)(=O)c2sc(S(N)(=O)=O)cc21",[C][C][N][C@H1][C][N][Branch1][=Branch1][C][C][C][O][C][S][=Branch1][C][=O][=Branch1][C][=O][C][S][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][C][=Ring1][=Branch2][Ring2][Ring1][Ring2],0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,"[12*]c1ccccn1,[14*]c1ccccc1,[3*]C(C)C,[3*]CCC([6*])([6*])C(N)=O,[4*]N([4*])[4*]",[C][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C],0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,"[4*]N(C)C,[4*]NCN1CCCC1,[1*]C(=O)C1=C(O)[C@@H]([3*])[C@@H]2CC3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O",[C][N][Branch1][C][C][C@@H1][C][Branch1][C][O][=C][Branch1][=C][C][=Branch1][C][=O][N][C][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][C@@][Branch1][C][O][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C@@][Branch1][C][C][Branch1][C][O][C][Ring1][=C][C][C@@H1][Ring2][Ring2][Ring1][Ring2][Ring1][Ring2],0
CCCCCCCCCCCCCC(=O)OC,"[1*]C(=O)CCCCCCCCCCCCC,[2*]OC",[C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],0
CCCCCCC(C)O,CCCCCCC(C)O,[C][C][C][C][C][C][C][Branch1][C][C][O],0
CCC[Si](OC)(OC)OC,CCC[Si](OC)(OC)OC,[C][C][C][Si][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],0
CC1=C(CC=O)C(C)(C)CCC1,CC1=C(CC=O)C(C)(C)CCC1,[C][C][=C][Branch1][Ring2][C][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][O],0
CCCCCNCCCCC,"[4*]N[4*],[3*]CCCCC",[C][C][C][C][C][N][C][C][C][C][C],0
COCC(C)O,"[3*]CC(C)O,[2*]OC",[C][O][C][C][Branch1][C][C][O],0
c1ccc2c(c1)Oc1ccccc1S2,c1ccc2c(c1)Oc1ccccc1S2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][O],0
CC1CN1,CC1CN1,[C][C][C][N][Ring1][Ring1],0
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,"[11*]C1(C)N=C(c2ncc([14*])cc2[14*])NC1=O,[6*]C(C)C,[6*]CC,[1*]C(=O)O",[C][C][C][=C][N][=C][Branch2][Ring1][Branch1][C][=N][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][N][Ring1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring2][Ring1][Ring1],0
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,"[2*]O[2*],[12*]c1ncc(Cl)cc1Cl,[14*]c1ccc([14*])cc1",[Cl][C][=C][N][=C][Branch2][Ring1][=Branch2][O][C][=C][C][=C][Branch1][=C][O][C][=N][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring1][#C][C][Branch1][C][Cl][=C][Ring2][Ring1][#Branch1],0
ClCOCCl,ClCOCCl,[Cl][C][O][C][Cl],0
CC(O)CNCC(C)O,"[3*]CC(C)O,[4*]N[4*]",[C][C][Branch1][C][O][C][N][C][C][Branch1][C][C][O],0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],"[3*]C(CCC(CC)CCCC)CC(C)C,[2*]OS(=O)(=O)[O-]",[C][C][C][C][C][Branch1][Ring1][C][C][C][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0
O=C(O)CCCCCCCCC(=O)O,O=C(O)CCCCCCCCC(=O)O,[O][=C][Branch1][C][O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O],0
CCCCCCCC(=O)OC,"[1*]C(=O)CCCCCCC,[2*]OC",[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],0
CC(O)COCC(C)O,"[3*]CC(C)O,[2*]O[2*]",[C][C][Branch1][C][O][C][O][C][C][Branch1][C][C][O],0
Cc1ncc[nH]1,Cc1ncc[nH]1,[C][C][=N][C][=C][NH1][Ring1][Branch1],0
CO[Si](C)(C)OC,CO[Si](C)(C)OC,[C][O][Si][Branch1][C][C][Branch1][C][C][O][C],0
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,"[14*]c1c(Cl)ccc(Cl)c1Cl,[6*]CC(=O)O",[O][=C][Branch1][C][O][C][C][=C][Branch1][C][Cl][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],0
Cc1ccc(C(C)(C)C)cc1,"[6*]C(C)(C)C,[14*]c1ccc(C)cc1",[C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2],0
BrCBr,BrCBr,[Br][C][Br],0
Nc1cc(Cl)cc(Cl)c1,Nc1cc(Cl)cc(Cl)c1,[N][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2],0
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],"[Mg+2],O,O=[N+]([O-])[O-]",[O].[O].[O].[O].[O].[O].[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Mg+2],0
CCCCCCCCCOS(=O)(=O)[O-],"[2*]OS(=O)(=O)[O-],[3*]CCCCCCCCC",[C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0
O=Cc1ccc(C(=O)O)cc1,"[1*]C(=O)O,[14*]c1ccc(C=O)cc1",[O][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],0
CCC(Cl)CCl,CCC(Cl)CCl,[C][C][C][Branch1][C][Cl][C][Cl],0
O=C1CCCN1,O=C1CCCN1,[O][=C][C][C][C][N][Ring1][Branch1],0
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,[N][#C][C][Branch1][#C][N][=N][C][Branch1][Ring1][C][#N][C][C][C][C][C][Ring1][Branch2][C][C][C][C][C][Ring1][S],0
COc1cccc(Br)c1,"[14*]c1cccc(Br)c1,[2*]OC",[C][O][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1],0
CCCCCCCCNC,"[3*]CCCCCCCC,[4*]NC",[C][C][C][C][C][C][C][C][N][C],0
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,"[4*]N(C)C,[2*]O[2*],[1*]C([1*])=O,[1*]C(=O)n1nc([12*])cc1C",[C][C][=C][C][Branch1][O][O][C][=Branch1][C][=O][N][Branch1][C][C][C][=N][N][Ring1][O][C][=Branch1][C][=O][N][Branch1][C][C][C],0
CC(O)COc1ccccc1,"[3*]CC(C)O,[2*]O[2*],[14*]c1ccccc1",[C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,[O][=P][Branch1][Branch1][N][C][C][Cl][O][C][C][C][N][Ring1][#Branch2][C][C][Cl],0
CC=Cc1ccc2c(c1)OCO2,"[5*]=Cc1ccc2c(c1)OCO2,[5*]=CC",[C][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,"[1*]C(=O)O,[4*]N1CCN(C)CC1,[14*]c1c(F)cc2c(=O)c([14*])cn3c2c1OCC3C",[C][C][C][O][C][=C][Branch1][N][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][C][Branch1][C][F][=C][C][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring2][Ring1][Branch2][C][Ring2][Ring1][=Branch1][=Ring1][#Branch2],0
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,"[14*]c1ccc(Cl)nc1,[3*]C[6*],[3*]CC,[4*]N([4*])/C(=C/[N+](=O)[O-])NC",[C][C][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][Cl][N][=C][Ring1][#Branch1][/C][=Branch1][#Branch1][=C][/N+1][=Branch1][C][=O][O-1][N][C],0
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,"[6*]CO,[11*][C@@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O",[O][C][C@][Branch1][C][O][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O],0
CC(C)C[P+](C)(CC(C)C)CC(C)C,CC(C)C[P+](C)(CC(C)C)CC(C)C,[C][C][Branch1][C][C][C][P+1][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C],0
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,"[3*][C@H]1[C@H]([3*])[C@H]([3*])O[C@@H]([11*])[C@H]1O,[2*]O[2*],[6*]CO,[1*]C([1*])=O,[3*]C1O[C@@H]([11*])[C@@H](O)[C@H](O)[C@H]1O,[3*][C@H]1C[C@@H]2[C@@]3(CC[C@H]4[C@]2(C)CCC[C@@]4([13*])C)CC(=C)[C@H]1C3,[3*][C@@H]1O[C@@H]([11*])[C@@H](O)[C@H](O)[C@H]1O",[C][=C][C][C@][C][C][C@@H1][C@][Branch1][C][C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C][C][C][C@][Ring2][Ring1][Branch1][Branch1][C][C][C@@H1][Ring2][Ring1][#Branch2][C][C@@H1][Branch2][Branch1][=N][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Ring2][Ring1][Branch1][O][C][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][P][C][Ring2][Branch1][S],0
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,"[3*]CC(CC)CCCC,[2*]O[2*],[14*]c1ccc([14*])c([14*])c1,[1*]C([1*])=O",[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][=C][Ring2][Ring1][N],0
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,"[7*]n1c(=O)n([7*])c(=O)n([7*])c1=O,[6*]CCO",[O][=C][N][Branch1][Ring2][C][C][O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][=Branch1][C][=O][N][Ring1][=C][C][C][O],0
O=C(O)c1ccc(O)cc1O,"[1*]C(=O)O,[14*]c1ccc(O)cc1O",[O][=C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O],0
CC1=CC(C)(C)Nc2ccccc21,CC1=CC(C)(C)Nc2ccccc21,[C][C][=C][C][Branch1][C][C][Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][N],0
CC(C)CNCC(C)C,"[3*]CC(C)C,[4*]N[4*]",[C][C][Branch1][C][C][C][N][C][C][Branch1][C][C][C],0
NC(=O)OCC(COC(N)=O)c1ccccc1,"[3*]CC([6*])C[3*],[2*]O[2*],[14*]c1ccccc1,[1*]C(N)=O",[N][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,"[11*]C1(C)NC(c2cc(C)ccc2[14*])=NC1=O,[1*]C([1*])=O,[6*]C(C)C,[2*]OC",[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=N][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][=Branch1][C][Branch1][C][C][C][N][Ring1][#Branch2],0
NC(=S)NNC(N)=S,NC(=S)NNC(N)=S,[N][C][=Branch1][C][=S][N][N][C][Branch1][C][N][=S],0
O=C(Oc1ccccc1)Oc1ccccc1,"[2*]O[2*],[14*]c1ccccc1,[1*]C([1*])=O",[O][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CN(C)CCN(Cc1cccs1)c1ccccn1,"[4*]N(C)C,[12*]c1cccs1,[12*]c1ccccn1,[3*]CC[3*],[3*]C[6*],[4*]N([4*])[4*]",[C][N][Branch1][C][C][C][C][N][Branch1][=Branch2][C][C][=C][C][=C][S][Ring1][Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1],0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,"[13*][C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,[1*]C(C)=O",[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C@H1][C][C@][Branch1][C][C][Branch1][C][O][C][C][C@][Ring1][Branch2][Branch1][C][C][C@H1][Ring1][=N][C][C][C@][Ring2][Ring1][Ring2][Ring1][P][C],0
O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,"[3*]CC[6*],[6*]CC(=O)O,[10*]S(=O)(=O)c1ccc(Cl)cc1,[4*]N[4*],[14*]c1ccc([14*])cc1",[O][=C][Branch1][C][O][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring1],0
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,"[6*]C[6*],[7*]n1cc([12*])nn1,[1*]C(N)=O,[14*]c1c(F)cccc1F",[N][C][=Branch1][C][=O][C][=C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][N][=N][Ring1][=C],0
CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,"[7*]n1cc[n+](C)c1C,[6*]CC,O=S(=O)([O-])C(F)(F)F",[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1][C].[O][=S][=Branch1][C][=O][Branch1][C][O-1][C][Branch1][C][F][Branch1][C][F][F],0
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,"[7*]n1cc[n+](C)c1,[6*]CCCC,F[B-](F)(F)F",[C][C][C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[F][B-1][Branch1][C][F][Branch1][C][F][F],0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,"[4*]N1CCCC1[11*],[3*]CC,[2*]OC,[1*]C([1*])=O,[3*]C[6*],[4*]N[4*],[14*]c1cc(N)c(S(=O)(=O)CC)cc1[14*]",[C][C][N][C][C][C][C][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Branch1][C][N][C][=C][Ring1][N][O][C],0
