smiles,smi_fragments,selfies,selfies_fragments,CT_TOX
[Se],['[Se]'],[Se],['[Se]'],1
B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,"['[14C]c1ccccc1', '[12C]c1cnccn1', '[1C]C(=O)[C@@H]([3C])C[6C]', 'CC(C)C[C@H]([3C])B(O)O', '[1C]C([1C])=O', '[4C]N[4C]']",[B][Branch2][Ring2][Branch2][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][N][=C][C][=N][Ring1][=Branch1][Branch1][C][O][O],"['[14C][C][=C][C][=C][C][=C][Ring1][=Branch1]', '[12C][C][=C][N][=C][C][=N][Ring1][=Branch1]', '[1C][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][C][6C]', '[C][C][Branch1][C][C][C][C@H1][Branch1][C][3C][B][Branch1][C][O][O]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]']",0
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,"['[14C]c1ccccc1', '[12C]c1cnccn1', '[1C]C(=O)[C@@H]([3C])C[6C]', 'CC(C)C[C@H]([3C])B(O)O', '[1C]C([1C])=O', '[4C]N[4C]']",[B][Branch2][Ring2][Branch2][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=N][C][=C][N][=C][Ring1][=Branch1][Branch1][C][O][O],"['[14C][C][=C][C][=C][C][=C][Ring1][=Branch1]', '[12C][C][=C][N][=C][C][=N][Ring1][=Branch1]', '[1C][C][=Branch1][C][=O][C@@H1][Branch1][C][3C][C][6C]', '[C][C][Branch1][C][C][C][C@H1][Branch1][C][3C][B][Branch1][C][O][O]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]']",1
B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,"['[14C]c1cc(Cl)ccc1Cl', 'CC(C)C[C@H]([3C])B(O)O', '[1C]C([1C])=O', '[4C]N[4C]', '[1C]C(=O)C[3C]']",[B][Branch2][Ring2][Ring1][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Branch1][C][O][O],"['[14C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl]', '[C][C][Branch1][C][C][C][C@H1][Branch1][C][3C][B][Branch1][C][O][O]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[1C][C][=Branch1][C][=O][C][3C]']",1
C#CC1(CCCCC1)OC(=O)N,"['[2C]O[2C]', 'C#CC1([3C])CCCCC1', '[1C]C(N)=O']",[C][#C][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][O][C][=Branch1][C][=O][N],"['[2C][O][2C]', '[C][#C][C][Branch1][C][3C][C][C][C][C][C][Ring1][#Branch1]', '[1C][C][Branch1][C][N][=O]']",0
C#CC[NH2+][C@@H]1CCc2c1cccc2,"['[3C][C@@H]1CCc2ccccc21', 'C#CC[3C]', '[4C][NH2+][4C]']",[C][#C][C][NH2+1][C@@H1][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1],"['[3C][C@@H1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2]', '[C][#C][C][3C]', '[4C][NH2+1][4C]']",0
C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],"['[1C]C([1C])=O', '[4C]N[4C]', '[12C]c1cnc2nc(N)nc(N)c2n1', '[14C]c1ccc([14C])cc1', '[3C][C@@H](CCC(=O)[O-])C(=O)[O-]', 'C#CCC([6C])C[6C]']",[C][#C][C][C][Branch2][Ring1][Branch2][C][C][=C][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],"['[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[12C][C][=C][N][=C][N][=C][Branch1][C][N][N][=C][Branch1][C][N][C][Ring1][Branch2][=N][Ring1][N]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]', '[3C][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1]', '[C][#C][C][C][Branch1][C][6C][C][6C]']",0
C#N,['C#N'],[C][#N],['[C][#N]'],0
C(#N)[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,['N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O'],[C][#Branch1][C][#N][Fe-2][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][N][=O],['[N][#C][Fe-2][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][Branch1][Ring1][C][#N][N][=O]'],0
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O,"['[6C][C@H](O)CO', '[11C][C@H]1OC(=O)C(O)=C1[O-]']",[C][Branch2][Ring1][Branch1][C@@H1][Branch1][P][C@@H1][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][=Branch1][O][O-1][O][O],"['[6C][C@H1][Branch1][C][O][C][O]', '[11C][C@H1][O][C][=Branch1][C][=O][C][Branch1][C][O][=C][Ring1][#Branch1][O-1]']",0
C([C@@H](C(=O)[O-])[NH3+])S,['[NH3+][C@@H](CS)C(=O)[O-]'],[C][Branch1][#Branch2][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][NH3+1][S],['[NH3+1][C@@H1][Branch1][Ring1][C][S][C][=Branch1][C][=O][O-1]'],0
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,"['[2C]O[2C]', '[3C][C@H]1[C@H](O)[C@@]([11C])(O)O[C@@H]1[11C]', '[3C][C@@H]1O[C@H]([11C])[C@H](O)[C@H](O)[C@H]1O', '[6C]CO']",[C][Branch2][Ring2][O][C@@H1][C@@H1][Branch2][Ring2][Branch1][C@@H1][Branch2][Ring1][S][C@H1][Branch2][Ring1][O][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch1][=C][O][C@@][Branch1][Branch1][C@H1][Ring1][Branch1][O][Branch1][Ring1][C][O][O][C][O][O][O][O][O],"['[2C][O][2C]', '[3C][C@H1][C@H1][Branch1][C][O][C@@][Branch1][C][11C][Branch1][C][O][O][C@@H1][Ring1][Branch2][11C]', '[3C][C@@H1][O][C@H1][Branch1][C][11C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][=Branch2][O]', '[6C][C][O]']",0
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)COS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O,"['[3C]C[6C]', '[2C]O[2C]', '[3C][C@H]1[C@H]([3C])[C@]([3C])([11C])O[C@@H]1[3C]', '[2C]OS(=O)(=O)O[Al](O)O', '[3C][C@@H]1O[C@H]([11C])[C@@H]([3C])[C@H]([3C])[C@H]1[3C]']",[C][Branch2][#Branch2][#Branch2][C@@H1][C@H1][Branch2][=Branch2][#Branch1][C@@H1][Branch2][Branch2][Branch1][C@H1][Branch2][#Branch1][Ring1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@][Branch2][Branch1][=Branch2][C@H1][Branch2][Ring2][#Branch1][C@@H1][Branch2][Ring1][Branch1][C@H1][Branch1][Ring2][O][Ring1][Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O],"['[3C][C][6C]', '[2C][O][2C]', '[3C][C@H1][C@H1][Branch1][C][3C][C@][Branch1][C][3C][Branch1][C][11C][O][C@@H1][Ring1][Branch2][3C]', '[2C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][Al][Branch1][C][O][O]', '[3C][C@@H1][O][C@H1][Branch1][C][11C][C@@H1][Branch1][C][3C][C@H1][Branch1][C][3C][C@H1][Ring1][=Branch2][3C]']",0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)F)O)O)O,"['[11C][C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O', '[6C]CO']",[C][Branch2][Ring1][Branch1][C@@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][F][O][O][O],"['[11C][C@H1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][F][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O]', '[6C][C][O]']",0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,"['[2C]O[2C]', '[3C][C@H]1O[C@H]([11C])[C@@H](O)[C@H](O)[C@H]1O', '[3C][C@@]1([11C])O[C@H]([11C])[C@@H](O)[C@@H]1O', '[6C]CO']",[C][Branch2][Ring2][=N][C@@H1][C@H1][Branch2][Ring2][#Branch1][C@@H1][Branch2][Ring2][C][C@H1][Branch2][Ring1][=N][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][C][O][O][O][O][O],"['[2C][O][2C]', '[3C][C@H1][O][C@H1][Branch1][C][11C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][=Branch2][O]', '[3C][C@@][Branch1][C][11C][O][C@H1][Branch1][C][11C][C@@H1][Branch1][C][O][C@@H1][Ring1][Branch2][O]', '[6C][C][O]']",0
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,"['[11C][C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O', '[6C]CO']",[C][Branch2][Ring1][Branch1][C@@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][#Branch1][O][O][O][O],"['[11C][C@H1][O][C][=Branch1][C][=O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O]', '[6C][C][O]']",0
C([C@H]([C@@H]([C@H](C=O)O)O)O)O,['O=C[C@H](O)[C@@H](O)[C@H](O)CO'],[C][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][Ring1][C][=O][O][O][O][O],['[O][=C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O]'],0
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,['OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO'],[C][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@@H1][Branch1][Ring1][C][O][O][O][O][O][O],['[O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O]'],0
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,['O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO'],[C][Branch2][Ring1][#Branch1][C@H1][Branch2][Ring1][C][C@H1][Branch1][=C][C@@H1][Branch1][#Branch2][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][O][O][O][O],['[O][=C][Branch1][C][O-1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O]'],0
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,['OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO'],[C][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][Ring1][C][O][O][O][O][O][O],['[O][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O]'],0
C(=[NH2+])(N)N,['NC(N)=[NH2+]'],[C][=Branch1][C][=NH2+1][Branch1][C][N][N],['[N][C][Branch1][C][N][=NH2+1]'],0
C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,['FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br'],[C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][Br][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F],['[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][Br]'],0
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,['FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F'],[C][Branch2][Ring1][#Branch1][C][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][S][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][F],['[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F]'],0
C(C(C(=O)[O-])O)(C(=O)[O-])O,['O=C([O-])C(O)C(O)C(=O)[O-]'],[C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O],['[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=Branch1][C][=O][O-1]'],0
C(C(C(=O)[O-])S)(C(=O)[O-])S,['O=C([O-])C(S)C(S)C(=O)[O-]'],[C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][S][Branch1][=Branch1][C][=Branch1][C][=O][O-1][S],['[O][=C][Branch1][C][O-1][C][Branch1][C][S][C][Branch1][C][S][C][=Branch1][C][=O][O-1]'],0
C(C(Cl)(Cl)Cl)OP(=O)([O-])[O-],"['[3C]CC(Cl)(Cl)Cl', '[2C]OP(=O)([O-])[O-]']",[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1],"['[3C][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl]', '[2C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1]']",0
C(C(CO)(CO)[NH3+])O,['[NH3+]C(CO)(CO)CO'],[C][Branch1][O][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][NH3+1][O],['[NH3+1][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O]'],0
C(C(CO)O)O,['OCC(O)CO'],[C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O],['[O][C][C][Branch1][C][O][C][O]'],0
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],"['[2C]O[N+](=O)[O-]', '[3C]CC([3C])C[3C]']",[C][Branch1][P][C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],"['[2C][O][N+1][=Branch1][C][=O][O-1]', '[3C][C][C][Branch1][C][3C][C][3C]']",0
C(C(CS)S)O,['OCC(S)CS'],[C][Branch1][#Branch1][C][Branch1][Ring1][C][S][S][O],['[O][C][C][Branch1][C][S][C][S]'],0
C(C(F)(F)F)(C(F)(F)F)(F)F,['FC(F)(F)C(F)(F)C(F)(F)F'],[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],['[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F]'],0
C(C(F)(F)F)(Cl)Br,['FC(F)(F)C(Cl)Br'],[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][Cl][Br],['[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][Cl][Br]'],0
C(C(F)(F)F)(OC(F)F)Cl,"['[2C]OC(F)F', '[3C]C(Cl)C(F)(F)F']",[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][#Branch1][O][C][Branch1][C][F][F][Cl],"['[2C][O][C][Branch1][C][F][F]', '[3C][C][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][F][F]']",0
C(C(F)(F)F)(OC(F)F)F,"['[2C]OC(F)F', '[3C]C(F)C(F)(F)F']",[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][#Branch1][O][C][Branch1][C][F][F][F],"['[2C][O][C][Branch1][C][F][F]', '[3C][C][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F]']",0
C(=C(F)F)(F)F,['FC(F)=C(F)F'],[C][=Branch1][=Branch1][=C][Branch1][C][F][F][Branch1][C][F][F],['[F][C][Branch1][C][F][=C][Branch1][C][F][F]'],0
C(C(=O)[O-])[NH3+],['[NH3+]CC(=O)[O-]'],[C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][NH3+1],['[NH3+1][C][C][=Branch1][C][=O][O-1]'],0
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,['O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]'],[C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O],['[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1]'],0
C(C(OC(F)F)(F)F)(F)Cl,"['[2C]OC(F)F', '[3C]C(F)(F)C(F)Cl']",[C][Branch1][=C][C][Branch1][#Branch1][O][C][Branch1][C][F][F][Branch1][C][F][F][Branch1][C][F][Cl],"['[2C][O][C][Branch1][C][F][F]', '[3C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Cl]']",0
C(=C/C(=O)[O-])\C(=O)[O-],['[5C]=CC(=O)[O-]'],[C][=Branch1][#Branch1][=C][/C][=Branch1][C][=O][O-1][\C][=Branch1][C][=O][O-1],['[5C][=C][C][=Branch1][C][=O][O-1]'],0
C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)N,['NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-]'],[C][Branch1][O][C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][NH3+1][C][NH1+1][=C][Branch1][C][N][N],['[N][C][Branch1][C][N][=NH1+1][C][C][C][C@H1][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1]'],0
C(C[NH2+]CCNCC[NH2+]CCN)N,"['[4C]N[4C]', '[3C]CCN', '[3C]CC[3C]', '[4C][NH2+][4C]']",[C][Branch1][N][C][NH2+1][C][C][N][C][C][NH2+1][C][C][N][N],"['[4C][N][4C]', '[3C][C][C][N]', '[3C][C][C][3C]', '[4C][NH2+1][4C]']",0
C(C[NH3+])C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],['[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]'],[C][Branch1][Ring1][C][NH3+1][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O-1][O-1][P][=Branch1][C][=O][Branch1][C][O-1][O-1],['[NH3+1][C][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O-1][O-1][P][=Branch1][C][=O][Branch1][C][O-1][O-1]'],0
C(C[NH3+])C[NH2+]CCSP(=O)([O-])[O-],"['[3C]CC[3C]', '[9C]SP(=O)([O-])[O-]', '[3C]CCC[NH3+]', '[4C][NH2+][4C]']",[C][Branch1][Ring1][C][NH3+1][C][NH2+1][C][C][S][P][=Branch1][C][=O][Branch1][C][O-1][O-1],"['[3C][C][C][3C]', '[9C][S][P][=Branch1][C][=O][Branch1][C][O-1][O-1]', '[3C][C][C][C][NH3+1]', '[4C][NH2+1][4C]']",0
C(CC(C(F)F)(C(=O)[O-])[NH3+])C[NH3+],['[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F'],[C][Branch2][Ring1][C][C][C][Branch1][=Branch1][C][Branch1][C][F][F][Branch1][=Branch1][C][=Branch1][C][=O][O-1][NH3+1][C][NH3+1],['[NH3+1][C][C][C][C][Branch1][C][NH3+1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Branch1][C][F][F]'],0
C(CC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-])C[NH3+],['[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]'],[C][Branch2][Ring1][Branch2][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O-1][O-1][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C][NH3+1],['[NH3+1][C][C][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O-1][O-1][P][=Branch1][C][=O][Branch1][C][O-1][O-1]'],0
